
2025/01/02 (18:10:34) | ===> btop++ v.1.4.0
2025/01/02 (18:10:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2025/01/02 (18:10:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/02 (18:17:07) | INFO: Logger set to INFO
2025/01/02 (18:17:07) | INFO: Logger set to DEBUG
2025/01/02 (18:17:08) | INFO: Logger set to INFO
2025/01/02 (18:17:10) | INFO: Logger set to INFO
2025/01/02 (18:17:12) | INFO: Logger set to DEBUG

2025/01/02 (18:38:19) | ===> btop++ v.1.4.0
2025/01/02 (18:38:19) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2025/01/02 (18:38:21) | WARNING: Intel GPU: Failed to initialize PMU
